patientID	Week	Lactobacillus_crispatus	Lactobacillus_iners	Lactobacillus_gasseri	Lactobacillus_jensenii	Atopobium_vaginae	Megasphaera_sp._type_1	Streptococcus_anginosus	Prevotella_genogroup_3	Clostridiales	Enterococcus_faecalis	Corynebacterium_accolens	Total	Shannon	ISDI
AYAC01	1	0.945950329919	0.00141451282954	0.00263511802699	0.00113014554391	0.000136761487965	0.0	4.6347793845e-05	0.0	4.6347793845e-05	0.0	0.0118807451931	4594.25	38741.2143328	4.737734855e-08
AYAC01	10	0.00192377615747	0.0393396806529	0.0	0.000162757441755	0.0616481314523	0.287028684678	0.0	0.00142937015745	0.00863402926876	6.32911392405e-05	0.00852920264088	3403.0	27673.9772395	8.6352735257e-08
AYAC02	1	0.589002031733	0.31655258011	0.00106838351828	0.0300986809002	3.61480624639e-05	0.0	0.0	0.0	0.0	0.0	0.000174794771914	5919.75	51419.126876	2.85360112532e-08
AYAC02	10	0.719292652665	0.215537149184	0.00251044097817	0.0412236286103	5.15676567657e-05	0.0	5.7431656329e-05	0.0	0.0	0.000871273816341	0.00112697126452	4764.5	40350.1408275	4.40519702646e-08
AYAC03	1	0.000194749994165	0.165425939827	0.0	5.63316809374e-05	0.172292027319	0.192701018622	0.000547196001452	0.0525254170696	0.00535435944766	5.01403931007e-05	0.00985826578103	5003.0	42613.6646818	3.99520430542e-08
AYAC03	10	0.587983089277	0.389288314335	0.00160507189971	4.61595273264e-05	0.0	0.0	4.61595273264e-05	0.0	0.0	0.0	0.00280441403648	3373.75	27407.5755995	8.7856562082e-08
AYAC04	1	0.79001093018	0.177171983284	0.00239164273461	0.00858776158853	0.0	9.58956655159e-05	0.0	0.0	0.000156238412318	0.0	0.000279849813142	3923.25	32463.5614889	6.49692769016e-08
AYAC04	10	0.942394443408	0.000675680058226	0.00617093307499	0.0329581049018	0.0	0.0	4.82625482625e-05	0.0	4.82625482625e-05	9.82125319191e-05	0.000239627497194	5227.75	44758.4689721	3.65906714158e-08
AYAC05	1	0.000818450949097	0.550405910437	0.00042330577913	0.210502282374	0.000159230251853	0.0	0.0144702985875	0.0	0.000350948043264	0.000671012269939	0.00676688716345	3871.0	31978.9335221	6.6734998658e-08
AYAC05	10	0.000912923715376	0.811980219222	0.00163542496738	0.0939532913905	0.000619977197485	0.0	0.00175746356453	0.0	0.000255835438061	0.0	5.97657183839e-05	3696.0	30362.4126619	7.32042127673e-08
AYAC06	1	inf	inf	inf	0.000827114018461	0.0	0.0	inf	0.0	0.000198227717577	4.69263256687e-05	0.000128175178172	3394.66666667	inf	0.0
AYAC06	10	0.000152526930378	0.00218386457141	0.916534720383	0.0	0.0	0.0	0.00176791157852	0.0	0.0	0.0	0.000868859308601	2385.25	18550.1332938	1.75764890055e-07
AYAC07	1	0.00601353753031	0.861238916337	0.00141228639195	0.00416541189734	0.0	0.0	0.00207422731424	0.0	0.0	0.0	0.000189087559284	6676.5	58795.5437465	2.24337715664e-08
AYAC07	10	0.983440262484	0.00432061900193	0.000305719368252	0.0085274649293	0.0	0.0	0.0	0.0	0.0	3.92279930959e-05	0.000772662112851	5800.0	50260.5075023	2.97265160523e-08
AYAC08	1	0.163130725138	0.821216938402	0.000662808492411	6.87757909216e-05	0.0	0.0	5.48726953468e-05	0.0	6.25156289072e-05	5.48726953468e-05	0.00185167009438	4147.0	34545.0736464	5.81476180788e-08
AYAC08	10	0.208630762182	0.777657161454	3.75319021168e-05	3.75319021168e-05	0.0	4.11793773678e-05	8.23587547356e-05	0.0	0.000133535827407	0.0	0.00119420158784	5762.5	49898.2063517	3.01146710207e-08
AYAC09	1	0.99730224062	0.000625943616749	0.0	0.0	0.0	4.37675070028e-05	4.42008486563e-05	0.0	0.0	0.0	0.000125887360664	5940.0	51615.4165964	2.83417791835e-08
AYAC09	10	0.999248985234	0.000121877956179	0.0	0.000122227691226	0.0	0.0	0.0	0.0	0.0	3.09942970493e-05	2.8545329984e-05	8264.25	74541.0065833	1.46417540406e-08
AYAC10	1	0.93485759774	0.0440271793395	3.09866137828e-05	0.00891967197727	0.0	0.0	0.0	0.0	0.0	0.0	0.000374947862553	7608.0	67992.312861	1.72766283982e-08
AYAC10	10	0.380690669574	0.554847258006	0.000658304032351	0.0399980130621	0.00125386797536	0.0	9.68967486865e-05	0.0	6.45426656013e-05	0.0	0.0029220972122	7661.25	68521.5265226	1.70372984526e-08
EM01	1	0.0	0.288088051703	0.0	0.0	0.40328103332	2.57731958763e-05	0.00170891167726	0.0406644109334	0.00169779921127	0.0	0.000191726237883	8312.25	75021.5726724	1.44731414202e-08
EM01	10	9.88093650596e-05	0.580542876759	0.0003554447077	0.000109684078553	0.218183741756	0.0	0.007877734228	0.0350857581562	0.00670743777184	3.73692077728e-05	0.0148292472392	5318.0	45621.7498968	3.5359273495e-08
EM02	1	0.000182481751825	0.213766940104	0.000121654501217	0.0	0.139891428935	0.010615392068	0.00036496350365	0.192296228869	0.0131024226309	0.0	0.000703592985176	4955.0	42157.1890372	4.07298378722e-08
EM02	10	0.0215011890253	0.779566157249	0.00171166756783	0.0	0.0021032442328	0.0209641075165	0.000353846579105	0.000551943796852	0.0	0.00015006002401	0.00547306546093	4809.75	40778.844589	4.32269897774e-08
EM03	1	0.806355992907	0.18140951943	0.00328697977979	0.000178954903364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5103.5	43572.0390232	3.83940354712e-08
EM03	10	0.916000077815	0.0711173703563	0.00328875669321	0.000559314865241	8.10934937205e-05	0.0	5.46328671329e-05	0.0	0.0	0.0	5.36670690732e-05	8237.25	74270.4958947	1.4737896627e-08
EM04	1	0.000563570833436	6.77833584425e-05	0.0	0.990825371979	0.0	0.0	0.000510090858268	0.0	0.0	0.0	0.000576158080221	9376.5	85757.0938774	1.13741376355e-08
EM04	10	3.59298649037e-05	0.0	0.000315804943694	0.826460956485	0.0	0.0	0.140773873333	0.0	6.92616705915e-05	0.0	0.0051310920501	7092.5	62887.2667455	1.9879309945e-08
EM05	1	0.000447211779423	6.06060606061e-05	3.0303030303e-05	0.993498766732	0.0	0.0	0.0	0.0	0.0	0.0	0.00016694230643	7129.75	63255.357981	1.96721300964e-08
EM06	1	0.000272034820457	0.00122374408691	0.993321696265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000297600663066	6889.25	60885.2362467	2.10695908034e-08
EM06	10	3.23960088117e-05	0.000465490114326	0.99743255072	3.25182101977e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000195166863486	7560.0	67515.5315397	1.74967103138e-08
EM07	1	0.729417162958	0.204740288458	0.0103249261023	0.0250160084816	0.00034511296141	0.0	7.02581941018e-05	0.0	0.0	0.0	0.000245508086701	7066.75	62633.5624646	2.00244476225e-08
EM07	10	0.956737695187	0.0107694678585	0.00523423561882	0.0128715598594	0.0	0.0	0.0	0.0	0.000153180816037	0.0	3.04025294905e-05	8143.0	73326.9290441	1.50810343942e-08
EM08	1	0.99227498709	4.97809637595e-05	3.85445575085e-05	0.000231442307316	0.0	0.0	0.0	0.0	0.000333914803307	0.0	0.00142241900575	5515.0	47512.9622017	3.28782706687e-08
EM08	10	0.992645674362	0.00155075701842	0.0	0.000112539599449	0.0	0.0	0.0	4.04727213858e-05	3.60334390314e-05	3.60334390314e-05	0.00137586136357	6361.0	55709.2506815	2.47143509143e-08
EM09	1	0.992595476596	0.0	0.0	0.00411198173318	0.0	0.0	0.000190971648666	0.0	0.000462238409963	0.0	0.0	5410.25	46506.7548828	3.41637340642e-08
EM09	10	0.399976029961	0.557945713576	0.0153357356309	0.00412581915127	0.0	0.0	0.000273096129838	0.0	3.9013732834e-05	0.000369576634232	0.00180284124916	5710.0	49391.2496004	3.06709892312e-08
